id_left,id_right,Sz,Sp,Sm
1 	 36 	 (0.000000000000000,0.000000000000000) 	 (0.000000000000000,0.000000000000000) 	 (-0.000000000000000,0.000000000000000)
1 	 37 	 (0.000000000000000,0.000000000000000) 	 (-0.000000000000000,0.000000000000000) 	 (-0.000000000000000,0.000000000000000)
1 	 38 	 (-0.000000000000000,0.000000000000000) 	 (-0.000000000000000,0.000000000000000) 	 (0.000000000000000,0.000000000000000)
1 	 39 	 (0.000000000000000,0.000000000000000) 	 (0.000000000000000,0.000000000000000) 	 (0.000000000000000,0.000000000000000)
1 	 40 	 (-0.040664171011660,-0.002850849489021) 	 (-0.000000000000003,-0.000000000000000) 	 (-0.000000000000091,-0.000000000000011)
1 	 41 	 (-0.040664171011660,0.002850849489021) 	 (-0.000000000000003,0.000000000000000) 	 (-0.000000000000091,0.000000000000011)
1 	 42 	 (-0.000000000000013,-0.000000000000067) 	 (0.000000000000000,0.000000000000000) 	 (-0.007419360432760,0.057169549451766)
1 	 43 	 (-0.000000000000013,0.000000000000067) 	 (0.000000000000000,-0.000000000000000) 	 (-0.007419360432760,-0.057169549451766)
1 	 44 	 (-0.000000000000001,-0.000000000000004) 	 (-0.000000000000000,0.000000000000000) 	 (-0.000000000000010,-0.000000000000083)
1 	 45 	 (-0.000000000000001,0.000000000000004) 	 (-0.000000000000000,-0.000000000000000) 	 (-0.000000000000010,0.000000000000083)
1 	 46 	 (0.000000000000002,0.000000000000000) 	 (0.000000000000000,0.000000000000000) 	 (-0.062180772950800,0.000000000000000)
1 	 47 	 (-0.000000000000004,0.000000000000010) 	 (-0.016188348379710,0.006894771696136) 	 (-0.000000000000001,0.000000000000002)
1 	 48 	 (-0.000000000000004,-0.000000000000010) 	 (-0.016188348379710,-0.006894771696136) 	 (-0.000000000000001,-0.000000000000002)
1 	 49 	 (-0.007828830857989,-0.004013668197318) 	 (0.000000000000011,0.000000000000014) 	 (-0.000000000000005,0.000000000000009)
1 	 50 	 (-0.007828830857989,0.004013668197318) 	 (0.000000000000011,-0.000000000000014) 	 (-0.000000000000005,-0.000000000000009)
1 	 51 	 (-0.000000000000007,0.000000000000007) 	 (0.000000000000004,0.000000000000002) 	 (-0.005438087089954,-0.004693324209576)
1 	 52 	 (-0.000000000000007,-0.000000000000007) 	 (0.000000000000004,-0.000000000000002) 	 (-0.005438087089954,0.004693324209576)
1 	 53 	 (0.000000000000000,-0.000000000000000) 	 (0.000000000000000,-0.000000000000000) 	 (-0.000000000000006,0.000000000000000)
1 	 54 	 (0.000000000000000,0.000000000000000) 	 (0.000000000000000,0.000000000000000) 	 (-0.000000000000006,-0.000000000000000)
1 	 55 	 (0.000000000000000,-0.000000000000000) 	 (0.000000000000000,-0.000000000000000) 	 (0.000000000000000,0.000000000000000)
1 	 56 	 (0.000000000000000,0.000000000000000) 	 (0.000000000000000,0.000000000000000) 	 (0.000000000000000,-0.000000000000000)
1 	 57 	 (0.000000000000000,0.000000000000000) 	 (0.000000000000000,0.000000000000000) 	 (0.000000000000000,0.000000000000000)
1 	 58 	 (-0.000000000000000,0.000000000000000) 	 (-0.000000000000000,0.000000000000000) 	 (0.000000000000000,0.000000000000000)
1 	 59 	 (-0.000000000000000,0.000000000000000) 	 (-0.000000000000000,0.000000000000000) 	 (0.000000000000000,0.000000000000000)
1 	 60 	 (-0.000000000000000,0.000000000000000) 	 (-0.000000000000000,0.000000000000000) 	 (0.000000000000000,0.000000000000000)
1 	 61 	 (0.000000000000000,0.000000000000000) 	 (0.000000000000000,0.000000000000000) 	 (-0.000000000000000,0.000000000000000)
1 	 62 	 (0.000000000000000,0.000000000000000) 	 (0.000000000000000,0.000000000000000) 	 (-0.000000000000000,0.000000000000000)
1 	 63 	 (0.000000000000000,0.000000000000000) 	 (0.000000000000000,0.000000000000000) 	 (0.000000000000000,0.000000000000000)
2 	 0 	 (0.350440829985534,0.000000000000000) 	 (-0.000000000000074,0.000000000000000) 	 (0.000000000000028,0.000000000000000)
2 	 1 	 (-0.000000000000009,0.000000000000000) 	 (0.235702260395516,0.000000000000000) 	 (0.000000000000000,0.000000000000000)
2 	 2 	 (0.000000000000000,0.000000000000000) 	 (0.000000000000048,0.000000000000000) 	 (0.000000000000048,0.000000000000000)
2 	 3 	 (-0.000000000000025,0.000000000000000) 	 (-0.000000000000000,0.000000000000000) 	 (-0.235702260395516,0.000000000000000)
2 	 4 	 (0.000000000000000,0.000000000000000) 	 (-0.000000000000000,0.000000000000000) 	 (-0.000000000000000,0.000000000000000)
2 	 5 	 (0.000000000000000,-0.000000000000012) 	 (-0.000211641512352,0.306429067055238) 	 (-0.000000000000002,-0.000000000000016)
2 	 6 	 (0.000000000000000,0.000000000000012) 	 (-0.000211641512352,-0.306429067055238) 	 (-0.000000000000002,0.000000000000016)
2 	 7 	 (0.000000000000000,0.000000000000000) 	 (0.000000000000331,-0.000000000000395) 	 (-0.000000000000185,0.000000000000319)
2 	 8 	 (0.000000000000000,-0.000000000000000) 	 (0.000000000000331,0.000000000000395) 	 (-0.000000000000185,-0.000000000000319)
2 	 9 	 (-0.000000000000027,-0.000000000000017) 	 (-0.000000000000019,-0.000000000000001) 	 (-0.259172973899102,-0.163487576068545)
2 	 10 	 (-0.000000000000027,0.000000000000017) 	 (-0.000000000000019,0.000000000000001) 	 (-0.259172973899102,0.163487576068545)
2 	 11 	 (-0.000000000000008,-0.000000000000000) 	 (0.204112790971974,0.002152958034420) 	 (0.000000000000010,0.000000000000051)
2 	 12 	 (-0.000000000000008,0.000000000000000) 	 (0.204112790971974,-0.002152958034420) 	 (0.000000000000010,-0.000000000000051)
2 	 13 	 (-0.000000000000000,-0.000000000000000) 	 (-0.000000000000073,0.000000000000131) 	 (0.000000000001522,0.000000000000039)
2 	 14 	 (-0.000000000000000,0.000000000000000) 	 (-0.000000000000073,-0.000000000000131) 	 (0.000000000001522,-0.000000000000039)
2 	 15 	 (-0.000000000000011,-0.000000000000019) 	 (0.000000000000021,-0.000000000000000) 	 (-0.103870204154259,-0.175720366934568)
2 	 16 	 (-0.000000000000011,0.000000000000019) 	 (0.000000000000021,0.000000000000000) 	 (-0.103870204154259,0.175720366934568)
2 	 17 	 (0.000000000000183,0.000000000000000) 	 (-0.000000000000396,0.000000000000000) 	 (0.000000000000000,0.000000000000000)
2 	 18 	 (0.000000000001308,0.000000000000000) 	 (-0.341111515734462,0.000000000000000) 	 (0.000000000000055,0.000000000000000)
2 	 19 	 (-0.046946399885112,0.069781660847295) 	 (-0.000000000000052,0.000000000001425) 	 (0.000000000003829,0.000000000000015)
2 	 20 	 (-0.046946399885112,-0.069781660847295) 	 (-0.000000000000052,-0.000000000001425) 	 (0.000000000003829,-0.000000000000015)
